Name,Position,Team,Cluster,PCA1,PCA2
Aaron Cresswell,DF,West-Ham-United,2,-0.7953597467399263,0.27728813243219963
Aaron Ramsdale,GK,Southampton,4,-0.543837571644721,0.7997506064275384
Aaron Wan-Bissaka,DF,West-Ham-United,3,1.6134583346250373,0.23247259504103138
Abdoulaye Doucouré,MF,Everton,3,0.8805734298409864,0.028699450888534827
Abdukodir Khusanov,DF,Manchester-City,2,-1.0108895986938014,0.230311024906559
Abdul Fatawu Issahaku,FW,Leicester-City,0,-0.46563788671456263,-0.5978284442994575
Adam Armstrong,"FW,MF",Southampton,0,-0.39975319009515936,-0.35020283386170614
Adam Lallana,MF,Southampton,2,-0.7148841679338267,-0.1222152399777852
Adam Smith,DF,Bournemouth,4,-0.24987429521430587,0.2043556244164833
Adam Webster,DF,Brighton-and-Hove-Albion,2,-0.7281600074858648,0.26865037088745625
Adam Wharton,MF,Crystal-Palace,0,0.22606418912866916,-0.19491885314910284
Adama Traoré,"FW,MF",Fulham,1,0.6854495517257524,-0.943068661248251
Albert Grønbaek,"FW,MF",Southampton,2,-1.2983336644228254,-0.29250162265164253
Alejandro Garnacho,"MF,FW",Manchester-United,1,1.22839510140098,-1.0215760042724655
Alex Iwobi,"FW,MF",Fulham,1,2.1511922092412386,-0.9556124110148142
Alex McCarthy,GK,Southampton,2,-1.3127895266351373,0.22254562761311625
Alex Palmer,GK,Ipswich-Town,2,-1.1127324875414353,0.3342405758454704
Alex Scott,MF,Bournemouth,0,-0.35588705502139745,-0.08938709456553261
Alexander Isak,FW,Newcastle-United,1,1.0680719331857262,-1.40520561804717
Alexis Mac Allister,MF,Liverpool,3,2.128009737648331,0.16116498931488604
Ali Al Hamadi,FW,Ipswich-Town,2,-1.1509402768994728,-0.26075983792058227
Alisson,GK,Liverpool,4,-0.6941240964965707,0.799065452853231
Alphonse Areola,GK,West-Ham-United,4,-0.7442018061905125,0.7011543930315621
Amad Diallo,"FW,MF",Manchester-United,1,0.8926235121951454,-0.8943130879184233
Amadou Onana,MF,Aston-Villa,4,0.06110714903916219,0.38666269665206643
Andreas Pereira,MF,Fulham,1,0.9269397531776192,-0.4477090014033222
Andrew Robertson,DF,Liverpool,3,1.2474942551559893,0.2725585626960148
André,MF,Wolverhampton-Wanderers,3,0.9286214597964906,0.8743466958417125
André Onana,GK,Manchester-United,4,-0.374357638119397,0.9931678741812101
Andrés García,"DF,MF",Aston-Villa,2,-0.9487105992620057,-0.1391050409809028
Andy Irving,MF,West-Ham-United,2,-1.089333539210411,0.05817247245564568
Anthony Elanga,FW,Nottingham-Forest,1,0.9008119091535143,-1.181448497952279
Anthony Gordon,FW,Newcastle-United,1,1.4338648788174613,-1.0390489302115107
Antoine Semenyo,FW,Bournemouth,1,2.3790409246878195,-0.9258543872230716
Antonee Robinson,DF,Fulham,3,2.4841460704739493,0.10062885875262306
Antony,"DF,MF",Manchester-United,2,-1.1021071085292498,-0.610021437088905
Antonín Kinský,GK,Tottenham-Hotspur,2,-1.3297440586937233,0.26512457720002136
